customer_tweet_id,previous_context,customer_message,apple_reply,intent,escalate,label_reason,auto_intent_number,auto_intent,auto_escalate,auto_label_reason,review_status,confidence
1449294,,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,"@456305 Hey, we want to hear more about what's going on. DM us more details and we'll look into this together. https://t.co/GDrqU22YpT",hardware_repair,yes,Warranty repair dispute requiring human/service intervention.,8,hardware_repair,yes,"Customer is reporting a hardware, repair, replacement, or warranty issue. Human intervention is appropriate because the issue may require service, account-level action, financial action, or deeper troubleshooting.",REVIEW,high
1770323,,"with my 280 characters i’d like to get on apples ass about why all my fucking i’s in normal sentences look like this : i️ ,, please explain to me why y’all haven’t fixed this shit already. i’m an angry gal apple. i’m gonna switch to a heckin android if you don’t step UP. @115858",@532201 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,settings_features,no,"Keyboard/text input behavior issue; no account, payment, hardware, or other high-risk intervention is required.",6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
2077269,,"OMFG @115858 #icloud is terrible 😡 not only does it not work, but when it does you have to upload to it then wait for it to download then 1/2","@614358 Thanks for reaching out, we’d be happy to help! Let us know more about the issues you're experiencing in DM to proceed. https://t.co/GDrqU22YpT",account_icloud,no,Customer is reporting an iCloud functionality problem; no high-risk account intervention is explicitly requested.,7,account_icloud,no,"Customer is reporting an Apple ID, iCloud, account, or storage-plan issue.",REVIEW,high
1768877,"@531811 Hey, let's get your iPad updated. Have you tried the update via iTunes on a computer? Here's how: https://t.co/80YRnjDFDk","@AppleSupport I just tried iTunes, it said 10.3.1 is current however in Settings on the iPad says 11.1.",@531811 What's the iTunes version currently installed? Let's make sure it's fully updated and try again.,software_update,no,Customer is troubleshooting an iPad software update/version mismatch through iTunes.,1,software_update,no,Customer is reporting a software update or version-related issue.,REVIEW,high
1849980,,"@115858, why have you made it so hard to get to a boarding pass from the lock screen #fail #iphone",@553862 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,settings_features,no,Customer is reporting an undesirable lock-screen feature/UX behavior for accessing a boarding pass.,8,hardware_repair,yes,"Customer is reporting a hardware, repair, replacement, or warranty issue. Human intervention is appropriate because the issue may require service, account-level action, financial action, or deeper troubleshooting.",REVIEW,medium
1071318,@372807 We want you to be able to use your iPhone. What specific issues are you having with your device?,"@AppleSupport Glitches, random resets and more than half of my apps are not opening. We need to correct this ASAP",@372807 Let's take a look at this for you. Reach out to us in DM. https://t.co/GDrqU22YpT,device_performance,yes,"Device is experiencing random resets and widespread app failures, indicating a severe system stability issue requiring human investigation.",3,device_performance,no,Customer is reporting device performance or stability problems.,REVIEW,medium
1936283,,@AppleSupport My iPad and iPhone 6 continually freezes and restarts since upgrading to iOS 11. Anything I can do to fix this. Thank you!,@576066 We'd be glad to look into this with you as we want you to enjoy your devices. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT,device_performance,yes,Repeated freezing and unexpected restarts across devices indicate a severe device stability issue requiring human investigation.,1,software_update,no,Customer is reporting a software update or version-related issue.,REVIEW,medium
1122181,@266977 Your Amazon Music is no longer syncing to your iTunes? Let's take a look. Which iTunes version is installed? Using a Mac or PC?,@AppleSupport Newest versions on Airbook and iphone. Amazon used to autoshare to itunes,@266977 Did you update iTunes or your Amazon Music app before the syncing issue started? Let us know via DM. We'll go from there. https://t.co/GDrqU22YpT,apps_media,no,Customer is reporting an Amazon Music/iTunes syncing problem across MacBook and iPhone.,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
1970525,,@AppleSupport  umm why can't I downgrade? https://t.co/6t8vbnKJ7v,@583715 We'll be happy to help you with your iCloud Storage Plan. See: https://t.co/lOfKGWRryo DM us here for more: https://t.co/GDrqU22YpT,account_icloud,no,"Customer is asking about downgrading their iCloud Storage Plan; this is an account/service-plan issue, but no high-risk account intervention is explicitly requested.",6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
514779,,@AppleSupport my sim card keeps being “invalid” but it works for about 5 minutes each time i remove the tray so im sure its a software issue?? What should i do! When support tried to call me my sim card got invalid and it ended the call! HELP! THIS IS ANNOYING!!!!,"@238538 We know how important it is for your sim card to work, and want to help in any way we can. Check out the steps here and let us know if they help: https://t.co/UTP2qBi1Is",connectivity_network,yes,"The SIM repeatedly becomes invalid and interrupts support calls, indicating a persistent cellular connectivity issue requiring human troubleshooting.",5,messaging_calls,no,Customer is reporting a calling or messaging-related issue.,REVIEW,medium
693952,,"Hey @115858 @AppleSupport can you let me know why, when listening to music, I get this and not the song playing. It’s infuriating and means listening to music is actually hard work. https://t.co/oF1IoLmyjk",@285467 We want you to have an enjoyable experience while listening to music. Tell us which software version is currently running on your phone. We'll take it from there: https://t.co/GDrqU22YpT,apps_media,no,Customer is reporting a music playback problem; it can be handled through normal troubleshooting without human escalation.,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
2852349,,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",@793032 We'd like to help. Let us know which version of iOS you're running via DM to get started. https://t.co/GDrqU22YpT,messaging_calls,yes,"Customer cannot make calls on their iPhone, indicating a significant communication failure that may require human troubleshooting.",5,messaging_calls,no,Customer is reporting a calling or messaging-related issue.,REVIEW,medium
1743566,,Sooo @AppleSupport when do you plan on fixing this I️ situation?,@358289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,settings_features,no,Customer is reporting a software feature/behavior issue with an existing workaround; no high-risk intervention is required.,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
1766715,@531279 Which software version are you using? Are you restarting the device in between downloading apps? Feel free to DM us. https://t.co/GDrqU22YpT,@AppleSupport I have 30 pending updates.,@531279 Please DM us so that we can look into this further. https://t.co/GDrqU22YpT,software_update,no,Customer has many pending app updates and is seeking help with updating apps; this is a routine software update issue without a high-risk intervention,1,software_update,no,Customer is reporting a software update or version-related issue.,REVIEW,high
1482396,@AppleSupport Thanks!,@464205 @AppleSupport Did you get it solved? Hasn’t worked for me for two months!,"@464206 We can help. We've got a team here that Apple that can assist with your Apple TV. Click here to reach us, and we'll look into this. https://t.co/GDrqU22YpT",apps_media,yes,Persistent Apple TV issue for two months requiring further investigation by Apple support; human assistance is appropriate.,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
2288616,@664899 We'd like to find a solution. Which iOS version are you on?,@AppleSupport I’m on iOS 11.2 dev beta 2,@664899 We'd like to guide you in the right direction. DM us what country or region you're located in. https://t.co/GDrqU22YpT,software_update,no,Customer is discussing their iOS version and is currently using a developer beta; no high-risk intervention is explicitly required,1,software_update,no,Customer is reporting a software update or version-related issue.,REVIEW,high
2549068,@724285 Thanks for reaching out. Are you able to unlock your device without issue?,"@AppleSupport no, I didn’t have a passcode set, I can’t unlock it","@724285 Meet up with us in DM, and give us as many details as you can in relation to what caused this to start. https://t.co/GDrqU22YpT",settings_features,yes,Customer cannot unlock the device despite having no passcode set; this is a device-access issue requiring human troubleshooting.,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
1197467,,@AppleSupport es normal que desde la última actualización la duración de la batería se haya reducido tanto? Gracias,@401356 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,,6,apps_media,no,"Customer is reporting an app, media, camera, music, or Apple TV-related issue.",REVIEW,medium
