customer_tweet_id,previous_context,customer_message,apple_tweet_id,apple_reply,created_at
553664,@249147 Let's see if we can figure it out together. Have you recently tried to purchase something on your iPhone X that didn't go through?,"@AppleSupport last night i did, but this didn’t start happening until this morning.",553666,@249147 If you restart the device does the issue remain?,Sat Dec 02 20:33:05 +0000 2017
588034,,@115858 @AppleSupport fix the problems we have with the new update!!!,588032,@258954 We want you to have a good experience with the update. We'll be happy to help with any that you may have. What specific issues are you having with the update?,Sun Dec 03 14:48:55 +0000 2017
1414846,,"Merhaba, telefon tuş kilidindeyken kısayoldan hesap makinesi açılınca tuş kilidi açılmadan uygulama kapanmıyor @AppleSupport https://t.co/sZIIhbV35Y",1414844,@448802 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR,Sat Oct 28 19:40:46 +0000 2017
2837256,"@135028 We'd like to make sure we're able to get your Mac started up, so you're able to use it as needed. In order for us to assist you we'd like some information about your Mac. Please meet us in DM, so we can work on finding a resolution. https://t.co/GDrqU22YpT",@AppleSupport Just spoke to someone on support- thank you,2837258,"@135028 Glad to see you were able to speak with our support experts. Feel free to reach out to us if we can be of any further assistance. Our office hours are 7 days a week, from 5AM - 8PM PST. If you contact us after business hours, rest assured we'll respond the following day.",Mon Nov 27 15:29:21 +0000 2017
1007604,,@36518 hello. Is there problem with @6716 and new @115858 update? Mine kept crashing this morning on watch and didn’t register run.,1007603,@358439 Let's work together to figure out what's going on. Tell us which Apple Watch model you're using via DM. https://t.co/GDrqU22YpT,Sat Oct 14 09:08:20 +0000 2017
2774360,,So is @115858 ever planning on fixing this issue —&gt; I️ or nah,2774358,@775357 We can help. Tell us which software version you're using. We'll take it from there.,Tue Nov 21 12:38:20 +0000 2017
373654,,This update got my phone going slow and battery dying easily. WTF @115858,373653,@204545 We'd like to look into this with you. Which version of iOS 11 are you using? Please reply in DM. https://t.co/GDrqU22YpT,Sun Oct 08 23:49:02 +0000 2017
1857512,Holy shit anyone else's iPhone going bat shit crazy? I'm trying to sign into my iCloud on my iPad &amp; their both freaking TF out 🙄 @115858 help,@555481 @115858 Happened to me two weeks ago. All my devices are screwy and one computer is completely locked and demanding a pin #. No help at Apple yet,1857654,@555518 We'd like to help look into this with you to resolve those issues. DM us &amp; tell us more about what's going on. https://t.co/GDrqU22YpT,Thu Oct 19 07:03:46 +0000 2017
1697433,@514886 We can definitely look into this with you. Which device are you using? Which app are you using to edit the video?,"@AppleSupport 6s, i was trying trim it under photos",1697432,@514886 Thanks for the info. We'd like to move this to DM so we can go into more detail. https://t.co/GDrqU22YpT,Mon Nov 06 22:37:35 +0000 2017
1039372,@365895 Hi. We'd like to help. Have you checked out the steps here: https://t.co/5KootZbxj1 Let us know if this helps.,"@AppleSupport I've taken all the steps on that page, and still no luck. I think it's a critical issue in iO11 please escalate! Thank you.",1039374,@365895 Send us a DM and we'll take a closer look there. https://t.co/GDrqU22YpT,Thu Oct 12 21:28:51 +0000 2017
2035961,,iOS11 are you even kidding me right now? My phone is literally hanging and lagging and it wasn’t doing that before I updated @AppleSupport,2035960,@601927 We'd love to work together on this with you. Meet us in DM with the iOS version that's currently installed: https://t.co/GDrqU22YpT,Tue Nov 07 17:19:14 +0000 2017
1847929,"@553398 Have you restarted both the iPhone and Watch? If not, please do so now. Then test to see if you’re able to send a message.",@AppleSupport ...range of my iPhone when messages fail to send.,1847927,@553398 Understood. Does your Watch have an active cellular plan through your carrier?,Thu Oct 19 20:15:16 +0000 2017
2113774,"During my walk to work, I noticed a young man ahead of me. He had his head down for at least 400m. I️ thought he’d stop long before the brick wall. He turned and saw I’d witnessed it all. I️ didn’t laugh, but Lord knows I had to exercise restraint. #280charcters","Also, I tried @AppleSupport work around this glitch and it’s still not working. I guess at this point people know what it’s supposed to mean.",2113773,@240134 We'd like to help. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 08 13:47:47 +0000 2017
2696037,@497113 This is not the experience we want you to have. What specific issue are you having?,"@AppleSupport Black screen, white screen sometimes. Draining of battery, slower, and much more😒",2696039,@497113 Let's take a look at these issues for you further. Reach out to us in DM. https://t.co/GDrqU22YpT,Sun Nov 19 19:05:24 +0000 2017
2065205,,"@115858 why did my SSD have to fail in my graduate year? More importantly, why did it have to fail when I was watching #ER ?! #nolaptop #sad",2065204,@610726 We'd like to see how we can help. DM us with what type of Mac you're using and what country you're currently in. https://t.co/GDrqU22YpT,Sat Oct 07 21:02:24 +0000 2017
1409691,,#HighSierra converts a super laptop in a two times a day crashing piece of shit… @115858 https://t.co/nNZmVLB7ts,1409689,@447663 We'd like to help out. Follow up with us in DM. Tell us more details of what you're experiencing there. https://t.co/GDrqU22YpT,Wed Nov 01 22:34:45 +0000 2017
2908041,@805162 Hi there! Regaining access to your Apple ID is important. Let's see how we can provide you more guidance on this topic. Has it been at least 24 hours since you requested Account Recovery? Did you receive an email confirming your request yet?,"@AppleSupport Hi, thanks. Yes, I have received an email confirming the request and that it’s ready for recovery. I follow the steps, enter my security info and enter the code sent via text msg. It then says info on how to recover the account will be texted to me but I don’t receive anything.",2908043,@805162 Thanks for the additional info. Let's take a closer look into this in DM. Send us a message and we'll follow up there. https://t.co/GDrqU22YpT,Wed Nov 29 13:50:15 +0000 2017
447404,@167333 Thanks for reaching out.  The limited warranty on your EarPods is for One Year.  Here is more information:  https://t.co/CwotdzNw50,@AppleSupport I was under impression eu law says electronic goods must be covered for 2 years?,447403,@167333 Let's take a closer look into service options together in DM. Send us a message with the country you're located in. https://t.co/GDrqU22YpT,Thu Nov 30 19:44:34 +0000 2017
2835753,,How tf my phone die in 9 mins @AppleSupport https://t.co/yyBg1ZJOME,2835754,@789320 We want your battery to last considerably longer than that. Let us know what iOS you're running in a DM and we'll find out what's going on with you. https://t.co/GDrqU22YpT,Mon Nov 27 13:30:00 +0000 2017
1830368,@549263 Yep.  Gone.,@549264 Huh. I called @117735. No help. I’ll try @AppleSupport,1830367,@549263 We'd love to look at what's going on with your iPad. Let us know in a DM what you've already gone through with your carrier. https://t.co/GDrqU22YpT,Tue Oct 17 16:27:53 +0000 2017
858896,,@AppleSupport  why is my iPhone 6S which is 6 months old going from 100% to 10% battery in 3 hours whilst only listening to music on ios11??,858895,@323923 We want your battery to work as expected. Send us a DM and we'll see what we can do to help. https://t.co/GDrqU22YpT,Fri Oct 13 10:24:26 +0000 2017
1007643,@355838 Are you able to sign in at https://t.co/bq19gX3X68? We're trying to isolate the cause of this issue.,"@AppleSupport Yes, I can.",1007645,@355838 Got it. We're going to need to dig deeper than we can do in 140 characters. Can you please join us in DM? https://t.co/GDrqU22YpT,Sat Oct 14 14:42:39 +0000 2017
2230716,@650960 We'd like to look into this with you. Which device are you using?,@AppleSupport iphone 6 with 11.0.3 running.,2230718,@650960 Got it. Move to DM with us and we'll take a closer look. https://t.co/GDrqU22YpT,Thu Oct 19 16:36:16 +0000 2017
1974116,@AppleSupport Ok sure 👌,"@AppleSupport the problem is still exist. 
#ridiculous",1974115,@539364 Thanks for letting us know. Let's look into this together. Join us in DM with more details about the battery drain. https://t.co/GDrqU22YpT,Wed Nov 01 13:39:58 +0000 2017
87082,@135062 Thanks for reaching out to us. We'll be happy to see how we can help. Have you tried restarting your Mac to see if that screen continues to display that way?,@AppleSupport Now this is popping up and my macintosh hd disk is no longer an option. This happened after I was downloading the new Mac OS Sierra. https://t.co/3uUwqn0PFg,87084,"@135062 To make sure we're on the same page, where is Macintosh HD no longer showing? If you open up Disk Utility, do you see it listed on the left of that window?",Thu Nov 30 18:41:17 +0000 2017
1689417,,No @AppleSupport needs to fix this shit https://t.co/wdFM30WQ2h,1689416,@512949 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,Mon Nov 06 17:43:16 +0000 2017
63225,,I️ just updated my phone again and still can’t text  I️ @AppleSupport,63224,"@130507 We can help. What is the current iOS version you have installed? Let us know more in DM, please. https://t.co/GDrqU22YpT",Wed Nov 01 21:01:47 +0000 2017
1474122,"@462197 Maybe we can help. Give us a few more details about what specifically is happening, and we'll get started with resolutions.",@AppleSupport The biggest issue I am having at the moment is my phone freezing and being kicked out of apps. Specifically Snapchat at the moment,1474124,@462197 Do you know if all the apps including Snapchat are up-to-date on the iPhone? Let us know in DM to proceed. https://t.co/GDrqU22YpT,Mon Oct 16 20:47:19 +0000 2017
1794929,,@115858 @116333 @123857 why is FaceTime Audio the most broken iPhone feature. Had an iPhone for 10yrs. This feature is always glitchy...,1794928,"@539368 Hey there, Scott! FaceTime Audio should be clearer than any other call! Hop into our DM and let us know which phone you have. https://t.co/GDrqU22YpT",Thu Oct 12 12:25:07 +0000 2017
1670137,,@AppleSupport why doesn’t @1122 work with music part of control centre or show up on my lock screen since latest update?,1670136,@508441 Let's take a look at this for you. Reach out to us in DM. https://t.co/GDrqU22YpT,Tue Oct 17 15:34:17 +0000 2017
202465,@163865 Do you not see the option to choose a song when setting up the alarm? Which iOS version are you running?,"@AppleSupport I see the option.  It plays the song at full blast 100% of the time.  Version 11.0.2, just upgraded.  Had the same awful result w/ 11.0.1.",202466,@163865 Got it. Thanks for confirming. Let's meet in DM to continue working on this. https://t.co/GDrqU22YpT,Wed Oct 04 22:39:21 +0000 2017
1764449,@530777 No problem.  Let us know if you need any further assistance.,@AppleSupport That query is sorted. But have found I have a problem sending mail from my iPhone 7 since upgrading to 11.1  will this be sorted soon? I use it a lot..,1764450,@530777 We can look into the Mail app with you more. Send us a DM with more details on what is happening when you try to send a message. https://t.co/GDrqU22YpT,Wed Nov 08 19:44:27 +0000 2017
